evid lon[deg] lat[deg] depth[km] mag[ML]
37311984 -115.459 32.807 9.04 2.0
37312064 -115.459 32.807 8.88 1.5
37312072 -115.459 32.806 9.09 2.4
37312120 -115.458 32.804 9.26 1.8
37312264 -115.456 32.802 9.11 1.5
37312272 -115.457 32.803 9.10 2.2
37315520 -115.438 32.769 9.45 2.0
37317856 -115.424 32.748 11.15 1.5
37099927 -115.519 32.769 10.08 2.3
37109591 -115.434 32.765 9.54 1.9
37339384 -115.499 32.755 9.83 1.9
37340304 -115.558 32.806 10.90 1.2
37340296 -115.558 32.806 10.91 1.7
37348368 -115.428 32.759 10.07 1.7
37351608 -115.550 32.793 8.58 1.9
37354136 -115.437 32.776 9.62 1.5
37148975 -115.548 32.793 10.05 1.1
37149071 -115.547 32.793 10.08 1.4
37149119 -115.548 32.794 10.30 1.6
37149415 -115.548 32.795 10.41 1.3
37150551 -115.452 32.790 9.17 1.3
37378600 -115.404 32.728 10.76 1.9
37379672 -115.465 32.808 9.19 1.4
37131836 -115.465 32.808 9.14 1.9
37379824 -115.465 32.808 9.06 1.6
37379928 -115.466 32.809 9.12 1.5
37380400 -115.462 32.804 9.21 2.0
37380488 -115.440 32.778 9.59 1.6
37380496 -115.440 32.778 9.62 1.7
37380560 -115.461 32.803 9.43 1.9
37165583 -115.421 32.745 11.06 1.6
37165999 -115.530 32.781 11.26 1.8
37387824 -115.453 32.790 9.09 1.2
37387840 -115.453 32.790 9.06 1.8
37390872 -115.603 32.836 10.32 1.2
37393664 -115.536 32.786 11.03 1.3
37396480 -115.429 32.760 9.90 1.5
37396688 -115.434 32.768 8.68 1.5
37396704 -115.434 32.768 8.79 1.4
37397224 -115.449 32.785 9.62 1.5
37399696 -115.601 32.835 10.50 1.3
37399728 -115.601 32.835 10.50 1.8
37399768 -115.600 32.835 10.51 2.4
37399776 -115.600 32.835 10.58 1.3
37399984 -115.602 32.836 10.45 1.9
37400024 -115.601 32.836 10.56 1.8
37400048 -115.602 32.835 10.41 1.6
37400136 -115.603 32.837 10.51 1.8
37404584 -115.483 32.737 9.42 1.4
37407504 -115.550 32.791 9.55 1.7
37192951 -115.496 32.753 8.81 1.5
37207271 -115.442 32.773 9.49 1.8
37207279 -115.442 32.773 9.42 2.1
37207295 -115.441 32.772 9.44 1.9
37208087 -115.488 32.750 9.63 1.4
37209751 -115.387 32.696 12.23 2.2
37211847 -115.451 32.791 9.76 1.1
37212095 -115.460 32.714 7.23 2.0
37212135 -115.460 32.714 7.29 1.6
37212975 -115.425 32.751 10.94 1.8
37222919 -115.589 32.826 10.48 0.8
37222935 -115.590 32.826 10.43 1.0
37224911 -115.548 32.789 9.66 1.3
37228071 -115.590 32.827 10.38 0.9
37228119 -115.591 32.827 10.34 0.9
37228135 -115.591 32.827 10.38 0.8
37263101 -115.590 32.827 10.44 1.2
37234775 -115.435 32.763 9.43 1.8
37234823 -115.435 32.762 9.38 2.0
37234839 -115.435 32.762 9.31 1.6
37237935 -115.453 32.798 8.58 2.1
37241895 -115.606 32.836 10.20 1.2
37245487 -115.559 32.807 10.93 1.4
37245775 -115.450 32.786 9.08 1.5
37246047 -115.464 32.819 9.28 1.8
37246055 -115.463 32.817 9.21 1.3
37246079 -115.465 32.821 8.90 1.0
37251919 -115.418 32.742 10.21 1.6
37252727 -115.427 32.762 10.82 1.6
37252831 -115.445 32.775 9.52 1.6
37474336 -115.439 32.771 9.16 1.0
37262815 -115.620 32.749 12.78 1.6
37264031 -115.455 32.806 9.09 1.5
37485120 -115.557 32.801 10.09 1.3
37279239 -115.435 32.780 9.70 1.4
37280167 -115.434 32.777 9.62 1.7
37280183 -115.434 32.778 9.62 1.8
37280535 -115.433 32.776 9.41 2.5
37280543 -115.436 32.780 9.34 2.5
37280551 -115.434 32.777 9.39 1.3
37280575 -115.431 32.775 10.02 1.5
37280583 -115.437 32.781 9.18 1.6
37280647 -115.441 32.785 9.12 1.3
37280671 -115.431 32.775 9.97 1.5
37280719 -115.431 32.774 9.97 2.5
37280735 -115.442 32.787 9.17 1.8
37280751 -115.443 32.788 9.00 1.9
37280831 -115.431 32.774 9.66 1.6
37498512 -115.430 32.772 10.19 1.7
37499312 -115.579 32.819 11.12 1.6
37499320 -115.579 32.819 11.09 1.3
37500032 -115.544 32.786 9.64 2.0
37501472 -115.440 32.790 9.86 1.5
37505520 -115.448 32.784 9.10 2.7
37506280 -115.425 32.750 11.08 2.3
37510016 -115.594 32.829 10.46 2.0
37295967 -115.480 32.826 7.06 1.5
37522424 -115.469 32.815 9.15 1.2
37522432 -115.470 32.816 9.39 2.0
37315247 -115.591 32.827 10.57 1.8
37323791 -115.425 32.751 10.72 1.4
37323831 -115.506 32.761 10.65 1.4
37549576 -115.423 32.755 10.86 1.7
